type,title,url,wiki_title,wiki_url,wiki_extract,ka_best,ka_top3,confidence,matched_terms_bestka,hist_birth,hist_death,hist_mid,wiki_years,wiki_year_median,active_year,ka_status
persoon,"Sharif, Omar",https://historiek.net/kaskraker-acteur-omar-sharif-83-overleden/51304/,Sparisoma rubripinne,https://nl.wikipedia.org/wiki/Sparisoma_rubripinne,Sparisoma rubripinne is een straalvinnige vissensoort uit de familie van papegaaivissen (Scaridae). De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 1840 door Valenciennes.,KA24,KA24,1.0,wetenschap,,,,1840,1840,1840,confirmed
persoon,"Sharon, Ariel",https://historiek.net/ariel-sharon-1928/4209/,Sharon Angela,https://nl.wikipedia.org/wiki/Sharon_Angela,"Sharon Angela is een Amerikaanse actrice, schrijfster en filmregisseur. Angela is bekend van haar rol als Rosalie Aprile in de HBO-serie The Sopranos.",KA3,"KA3,KA37,KA47",0.3333,ur,,,,,,,confirmed
persoon,"Shelley, Mary",https://historiek.net/frankenstein-monster-geschiedenis-mary-shelley/73215/,Frankenstein,https://nl.wikipedia.org/wiki/Frankenstein,"Frankenstein kan verwijzen naar:Frankenstein (roman), een roman van de Engelse schrijfster Mary Shelley.",,,0.0,,,,,,,,uncertain
persoon,"Shepard, Ernest",https://historiek.net/tekenaar-aan-het-front-van-de-eerste-wereldoorlog/70757/,,,,,,0.0,,,,,,,,uncertain
persoon,"Shepperd-Barron, John",https://historiek.net/john-shepherd-barron-uitvinder-van-de-geldautomaat/8082/,,,,,,0.0,,,,,,,,uncertain
persoon,Signalementen,https://historiek.net/c/geschiedenisboeken/signalementen/,Signalement,https://nl.wikipedia.org/wiki/Signalement,Een signalement is een precieze beschrijving van een uiterlijk. Met name van dat van een voortvluchtig misdadiger. Ook in paspoorten kan een signalement zijn beschreven. Ook de beschrijving van een vliegtuig wordt een signalement genoemd.,,,0.0,,,,,,,,uncertain
persoon,"Sillem, Henrik",https://historiek.net/henrik-sillem/174710/,,,,,,0.0,,,,,,,,uncertain
persoon,"Simenon, Georges",https://historiek.net/georges-simenon-1903-1989/2280/,,,,,,0.0,,1903,1989,1946,,,1946,uncertain
persoon,Simeon II van Bulgarije,https://historiek.net/simeon-ii-de-laatste-tsaar-van-bulgarije/138038/,Simeon II van Bulgarije,https://nl.wikipedia.org/wiki/Simeon_van_Saksen-Coburg_en_Gotha,Simeon van Saksen-Coburg en Gotha-(Koháry) was van 1943 tot 1946 als Simeon II de laatste koning (tsaar) van Bulgarije en van 2001 tot 2005 als Simeon Borisov Sakskoboerggotski premier van dat land. Hij is een van de twee vorsten in de geschiedenis die na te zijn afgezet op democratische wijze weer politieke macht kreeg.,KA3,"KA3,KA47",0.5,ur,,,,1943 1946,1944,1944,confirmed
persoon,"Sinclair de Rochemont, Hugo",https://historiek.net/hugo-sinclair-de-rochemont-1901-1942-nederlandse-fascist/94472/,,,,,,0.0,,,,,,,,uncertain
